car_make,car_model,vehicle_type,classification_method,evidence,source_url,verification_status
Gac Motor,Gs3 Emzoom,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Others:3.,,LLM-reviewed
Gmc,Hummer,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Golden Dragon,Rk Commuter,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Great Wall,Haval,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:17.,,LLM-reviewed
Great Wall,M4,SUV / Crossover,llm-knowledge,GWM M4 compact crossover; DB majority SUV.,,LLM-reviewed
Great Wall,Ora,Hatchback,llm-knowledge,Ora Good Cat EV hatchback.,,LLM-reviewed
Great Wall,Tank,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Great Wall,Wey,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Mpvs:2.,,LLM-reviewed
Great Wall,Wingle,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:3.,,LLM-reviewed
Haval,H1,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:21.,,LLM-reviewed
Haval,H2,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:17.,,LLM-reviewed
Haval,H9,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Mpvs:2.,,LLM-reviewed
Honda,Accord,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:872.,,LLM-reviewed
Honda,Airwave,Wagon / Estate,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Honda,Br-V,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:185.,,LLM-reviewed
Honda,City,Sedan / Hatchback,llm-knowledge,City Sedan and City Hatchback both official in MY.,https://www.honda.com.my/model/city/spec,Verified
Honda,Civic,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2327.,,LLM-reviewed
Honda,Civic Type R,Hatchback,llm-knowledge,Type R generations are hatchbacks (FD2R sedan rare).,,LLM-reviewed
Honda,Cr-V,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1120.,,LLM-reviewed
Honda,Cr-X,Coupe,llm-knowledge,Compact sports kammback coupe.,,LLM-reviewed
Honda,Cr-Z,Coupe,llm-knowledge,Hybrid sports coupe.,,LLM-reviewed
Honda,Crossroad,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Honda,E,Hatchback,llm-knowledge,Honda e EV hatchback.,,LLM-reviewed
Honda,Edix,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:3.,,LLM-reviewed
Honda,Elysion,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:8.,,LLM-reviewed
Honda,Fit,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:6.,,LLM-reviewed
Honda,Freed,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:14.,,LLM-reviewed
Honda,Hr-V,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1127.,,LLM-reviewed
Honda,Insight,Hatchback,llm-knowledge,ZE2 liftback hatch dominates MY.,,LLM-reviewed
Honda,Integra,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:5.,,LLM-reviewed
Honda,Integra Type R,Coupe,llm-knowledge,DC2/DC5 coupe.,,LLM-reviewed
Honda,Jade,MPV / Minivan,llm-knowledge,6-seater MPV-wagon; DB majority MPV.,,LLM-reviewed
Honda,Jazz,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:612.,,LLM-reviewed
Honda,Jazz Hybrid,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:66.,,LLM-reviewed
Honda,Legend,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Honda,N Box,Hatchback,make/model heuristic,LLM pass concurs; DB majority Mpvs:73.,,LLM-reviewed
Honda,N-One,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:7.,,LLM-reviewed
Honda,Nsx,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Honda,Odyssey,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:240.,,LLM-reviewed
Honda,Prelude,Coupe,llm-knowledge,2-door sports coupe.,,LLM-reviewed
Honda,S2000,Convertible / Roadster,llm-knowledge,Roadster.,,LLM-reviewed
Honda,S600,Convertible / Roadster,llm-knowledge,Classic roadster (coupe existed).,,LLM-reviewed
Honda,S660,Convertible / Roadster,llm-knowledge,Kei roadster.,,LLM-reviewed
Honda,Shuttle,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:1.,,LLM-reviewed
Honda,Stepwagon,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:182.,,LLM-reviewed
Honda,Stream,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:110.,,LLM-reviewed
Honda,Wr-V,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:89.,,LLM-reviewed
Huanghai,Plutus,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Hummer,H2,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Hummer,H3,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:6.,,LLM-reviewed
Hyundai,Accent,Sedan,llm-knowledge,MY Accent = saloon; DB majority Sedan.,,LLM-reviewed
Hyundai,Atos,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:9.,,LLM-reviewed
Hyundai,Avante,Sedan,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:2.,,LLM-reviewed
Hyundai,Coupe,Coupe,llm-knowledge,Hyundai Coupe 2-door.,,LLM-reviewed
Hyundai,Creta,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:10.,,LLM-reviewed
Hyundai,Elantra,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:166.,,LLM-reviewed
Hyundai,Getz,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:20.,,LLM-reviewed
Hyundai,Grand Starex,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:291.,,LLM-reviewed
Hyundai,I10,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:29.,,LLM-reviewed
Hyundai,I30,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:3.,,LLM-reviewed
Hyundai,I40,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:13.,,LLM-reviewed
Hyundai,Ioniq,Hatchback,llm-knowledge,Ioniq (AE) liftback.,,LLM-reviewed
Hyundai,Ioniq 5,SUV / Crossover,llm-knowledge,Crossover EV.,,LLM-reviewed
Hyundai,Ioniq 6,Sedan,make/model heuristic,LLM pass concurs; DB majority Sports:1.,,LLM-reviewed
Hyundai,Kona,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:14.,,LLM-reviewed
Hyundai,Matrix,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:20.,,LLM-reviewed
Hyundai,Palisade,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Hyundai,Santa Fe,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:86.,,LLM-reviewed
Hyundai,Sonata,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:91.,,LLM-reviewed
Hyundai,Staria,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:32.,,LLM-reviewed
Hyundai,Trajet,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:4.,,LLM-reviewed
Hyundai,Tucson,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:134.,,LLM-reviewed
Hyundai,Veloster,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:4.,,LLM-reviewed
Hyundai,Xg,Sedan,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Icaur,03,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Icaur,V23,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Infiniti,Ex,SUV / Crossover,llm-knowledge,EX crossover.,,LLM-reviewed
Infiniti,Fx,SUV / Crossover,llm-knowledge,FX crossover.,,LLM-reviewed
Infiniti,M,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Infiniti,Q50,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:9.,,LLM-reviewed
Infiniti,Q70,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:4.,,LLM-reviewed
Infiniti,Qx50,SUV / Crossover,pattern heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Infiniti,Qx70,SUV / Crossover,pattern heuristic,LLM pass concurs; DB majority Suvs:7.,,LLM-reviewed
Inokom,Atos,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:17.,,LLM-reviewed
Inokom,Elantra,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:28.,,LLM-reviewed
Inokom,Getz,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:4.,,LLM-reviewed
Inokom,I10,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:27.,,LLM-reviewed
Inokom,Matrix,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:8.,,LLM-reviewed
Inokom,Permas,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Inokom,Santa Fe,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:34.,,LLM-reviewed
Isuzu,Citation,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Isuzu,D-Max,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:313.,,LLM-reviewed
Isuzu,Invader,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:5.,,LLM-reviewed
Isuzu,Mu,SUV / Crossover,llm-knowledge,Body-on-frame SUV.,,LLM-reviewed
Isuzu,Mu-X,SUV / Crossover,llm-knowledge,D-Max-based SUV; DB majority SUV.,,LLM-reviewed
Isuzu,Rodeo,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:1.,,LLM-reviewed
Isuzu,Trooper,SUV / Crossover,llm-knowledge,Body-on-frame SUV.,,LLM-reviewed
Isuzu,Vehicross,SUV / Crossover,llm-knowledge,Two-door SUV.,,LLM-reviewed
Jaecoo,J5,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:16.,,LLM-reviewed
Jaecoo,J7,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:72.,,LLM-reviewed
Jaecoo,J8,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Jaecoo,Omoda,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:39.,,LLM-reviewed
Jaguar,Daimler,Sedan,llm-knowledge,Daimler-badged Jaguar saloon.,,LLM-reviewed
Jaguar,E-Type,Sports car,llm-knowledge,Classic sports car.,,LLM-reviewed
Jaguar,F-Pace,SUV / Crossover,llm-knowledge,Jaguar SUV.,,LLM-reviewed
Jaguar,F-Type,Sports car,llm-knowledge,Two-seat sports car.,,LLM-reviewed
Jaguar,F-Type S,Sports car,llm-knowledge,Two-seat sports car.,,LLM-reviewed
Jaguar,I-Pace,SUV / Crossover,llm-knowledge,Electric crossover.,,LLM-reviewed
Jaguar,S-Type,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:4.,,LLM-reviewed
Jaguar,X-Type,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Jaguar,Xe,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Jaguar,Xf,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:13.,,LLM-reviewed
Jaguar,Xfr,Sedan,llm-knowledge,Performance saloon.,,LLM-reviewed
Jaguar,Xj,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:6.,,LLM-reviewed
Jaguar,Xj6,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:7.,,LLM-reviewed
Jaguar,Xj8,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Jaguar,Xjl,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:10.,,LLM-reviewed
Jaguar,Xjr,Sedan,llm-knowledge,Performance saloon.,,LLM-reviewed
Jaguar,Xjs,Coupe,llm-knowledge,GT coupe (convertible existed).,,LLM-reviewed
Jaguar,Xk,Coupe,llm-knowledge,GT coupe (convertible variant exists).,,LLM-reviewed
Jeep,Cherokee,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:7.,,LLM-reviewed
Jeep,Cj,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Jeep,Grand Cherokee,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Others:2.,,LLM-reviewed
Jeep,Wrangler,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:46.,,LLM-reviewed
Jetour,Dashing,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:20.,,LLM-reviewed
Jetour,T2,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:8.,,LLM-reviewed
Jetour,Vt9,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:14.,,LLM-reviewed
Jmc,Vigus Pro,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Joylong,Era Komuter,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Others:4.,,LLM-reviewed
Kaicene,Era Star Ii,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Kia,Carens,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:7.,,LLM-reviewed
Kia,Carnival,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:83.,,LLM-reviewed
Kia,Cerato,Sedan,llm-knowledge,MY Cerato = K3 saloon; DB 206 Sedan vs 3 Hatchback.,,LLM-reviewed
Kia,Ev6,SUV / Crossover,llm-knowledge,Crossover EV.,,LLM-reviewed
Kia,Forte,Sedan,llm-knowledge,MY Forte = saloon; DB majority Sedan.,,LLM-reviewed
Kia,Forte Coup,Coupe,llm-knowledge,Forte Koup 2-door.,,LLM-reviewed
Kia,Grand Carnival,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:83.,,LLM-reviewed
Kia,Optima,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:95.,,LLM-reviewed
Kia,Picanto,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:77.,,LLM-reviewed
Kia,Pregio,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:10.,,LLM-reviewed
Kia,Rio,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:89.,,LLM-reviewed
Kia,Rocsta,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Kia,Seltos,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Kia,Sorento,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:126.,,LLM-reviewed
Kia,Spectra,Sedan,llm-knowledge,MY Spectra = saloon; DB majority Sedan.,,LLM-reviewed
Kia,Sportage,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:142.,,LLM-reviewed
King Long,Kingo,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Mpvs:2.,,LLM-reviewed
King Long,Placer,Van / Commercial,make default heuristic,LLM pass concurs; DB majority Others:3.,,LLM-reviewed
Lamborghini,Aventador,Sports car,llm-knowledge,V12 supercar.,,LLM-reviewed
Lamborghini,Gallardo,Sports car,llm-knowledge,V10 supercar.,,LLM-reviewed
Lamborghini,Huracan,Sports car,llm-knowledge,V10 supercar.,,LLM-reviewed
Lamborghini,Murcielago,Sports car,llm-knowledge,V12 supercar.,,LLM-reviewed
Lamborghini,Revuelto,Sports car,llm-knowledge,Hybrid V12 supercar.,,LLM-reviewed
Lamborghini,Urus,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:133.,,LLM-reviewed
Land Rover,Defender,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:251.,,LLM-reviewed
Land Rover,Discovery,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:14.,,LLM-reviewed
Land Rover,Discovery Sport,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:13.,,LLM-reviewed
Land Rover,Freelander,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:11.,,LLM-reviewed
Land Rover,Range Rover,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:118.,,LLM-reviewed
Land Rover,Range Rover Evoque,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:117.,,LLM-reviewed
Land Rover,Range Rover Sport,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:244.,,LLM-reviewed
Land Rover,Range Rover Velar,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:87.,,LLM-reviewed
Land Rover,Range Rover Vogue,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:128.,,LLM-reviewed
Land Rover,Series,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Pick-Up:1.,,LLM-reviewed
Leapmotor,B10,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Leapmotor,C10,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Lexus,Ct 200,Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:60.,,LLM-reviewed
Lexus,Es 250,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:89.,,LLM-reviewed
Lexus,Es 300,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Lexus,Gs 250,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:5.,,LLM-reviewed
Lexus,Gs 300,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:11.,,LLM-reviewed
Lexus,Gs 350,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:2.,,LLM-reviewed
Lexus,Gx 550,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Lexus,Is 200,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:5.,,LLM-reviewed
Lexus,Is 250,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:47.,,LLM-reviewed
Lexus,Is 300,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:288.,,LLM-reviewed
Lexus,Is 350,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Lexus,Is 500,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Lexus,Lbx,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:6.,,LLM-reviewed
Lexus,Lc 500,Coupe,llm-knowledge,Luxury GT coupe.,,LLM-reviewed
Lexus,Lm,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:40.,,LLM-reviewed
Lexus,Ls 430,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Lexus,Ls 460,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:13.,,LLM-reviewed
Lexus,Ls 500,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:12.,,LLM-reviewed
Lexus,Lx 450,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Lexus,Lx 470,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:2.,,LLM-reviewed
Lexus,Lx 500D,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Lexus,Lx 570,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:29.,,LLM-reviewed
Lexus,Lx 600,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:71.,,LLM-reviewed
Lexus,Nx 200T,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:82.,,LLM-reviewed
Lexus,Nx 250,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:309.,,LLM-reviewed
Lexus,Nx 300,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:114.,,LLM-reviewed
Lexus,Nx 350,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:207.,,LLM-reviewed
Lexus,Rc 300,Coupe,llm-knowledge,2-door coupe.,,LLM-reviewed
Lexus,Rc F,Coupe,llm-knowledge,Performance coupe.,,LLM-reviewed
Lexus,Rx 200T,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:93.,,LLM-reviewed
Lexus,Rx 270,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:29.,,LLM-reviewed
Lexus,Rx 300,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:454.,,LLM-reviewed
Lexus,Rx 350,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:393.,,LLM-reviewed
Lexus,Rx 350 F Sport,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:271.,,LLM-reviewed
Lexus,Rx 450,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Lexus,Rx 500,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:11.,,LLM-reviewed
Lexus,Rz,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Lexus,Ux 200,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:25.,,LLM-reviewed
Lmg,Lms31Sle,Unknown / Needs Web Check,fallback heuristic,Model label not identifiable; needs web check.,,Needs source URL
Lotus,Eletre,SUV / Crossover,llm-knowledge,Lotus Eletre electric SUV; DB unanimous SUV.,,LLM-reviewed
Lotus,Elise,Sports car,llm-knowledge,Lightweight sports car.,,LLM-reviewed
Lotus,Emira,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Lotus,Europa,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Lotus,Evora,Sports car,llm-knowledge,Mid-engine sports car.,,LLM-reviewed
Lotus,Exige,Sports car,llm-knowledge,Track-focused sports car.,,LLM-reviewed
Mahindra,Scorpio,SUV / Crossover,llm-knowledge,Body-on-frame SUV.,,LLM-reviewed
Maserati,3200Gt,Coupe,llm-knowledge,GT coupe.,,LLM-reviewed
Maserati,Ghibli,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:23.,,LLM-reviewed
Maserati,Granturismo,Coupe,llm-knowledge,GT coupe.,,LLM-reviewed
Maserati,Grecale,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Maserati,Levante,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:58.,,LLM-reviewed
Maserati,Mc20,Sports car,llm-knowledge,Mid-engine supercar.,,LLM-reviewed
Maserati,Quattroporte,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:8.,,LLM-reviewed
Maxus,G10,MPV / Minivan,llm-knowledge,G10 people-mover MPV; DB unanimous MPV.,,LLM-reviewed
Maxus,Mifa,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:3.,,LLM-reviewed
Maxus,T60,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:1.,,LLM-reviewed
Maxus,V80,Van / Commercial,make/model heuristic,LLM pass concurs; DB majority Others:19.,,LLM-reviewed
Mazda,121,Sedan,llm-knowledge,MY 121 saloon.,,LLM-reviewed
Mazda,2,Sedan / Hatchback,llm-knowledge,Sold in MY as both sedan and hatchback; DB split.,,LLM-reviewed
Mazda,3,Sedan / Hatchback,llm-knowledge,Sold in MY as both sedan and hatchback; DB split.,,LLM-reviewed
Mazda,323,Sedan / Hatchback,llm-knowledge,Saloon and hatch both common; DB split.,,LLM-reviewed
Mazda,5,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:26.,,LLM-reviewed
Mazda,6,Sedan,llm-knowledge,MY Mazda 6 = sedan; DB 141 Sedan vs 3 Hatchback.,,LLM-reviewed
Mazda,626,Sedan,llm-knowledge,MY 626 saloon.,,LLM-reviewed
Mazda,8,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:37.,,LLM-reviewed
Mazda,B2200,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Others:1.,,LLM-reviewed
Mazda,B2500,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:3.,,LLM-reviewed
Mazda,Biante,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:59.,,LLM-reviewed
Mazda,Bt-50,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:33.,,LLM-reviewed
Mazda,Carol,Hatchback,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Mazda,Cx-3,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:149.,,LLM-reviewed
Mazda,Cx-30,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:150.,,LLM-reviewed
Mazda,Cx-5,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1023.,,LLM-reviewed
Mazda,Cx-60,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:9.,,LLM-reviewed
Mazda,Cx-7,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:12.,,LLM-reviewed
Mazda,Cx-8,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:136.,,LLM-reviewed
Mazda,Cx-80,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:1.,,LLM-reviewed
Mazda,Cx-9,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:31.,,LLM-reviewed
Mazda,Familia,Sedan / Hatchback,llm-knowledge,"323 family, both bodies.",,LLM-reviewed
Mazda,Fighter,Pickup / Truck,make/model heuristic,LLM pass concurs; DB majority Pick-Up:3.,,LLM-reviewed
Mazda,Lantis,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Mazda,Luce,Sedan,llm-knowledge,Luce large saloon.,,LLM-reviewed
Mazda,Mpv,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:1.,,LLM-reviewed
Mazda,Mx-3,Coupe,llm-knowledge,Compact coupe.,,LLM-reviewed
Mazda,Mx-30,SUV / Crossover,llm-knowledge,Crossover EV; DB unanimous SUV.,,LLM-reviewed
Mazda,Mx-5,Convertible / Roadster,llm-knowledge,Roadster.,,LLM-reviewed
Mazda,Premacy,MPV / Minivan,make/model heuristic,LLM pass concurs; DB majority Mpvs:3.,,LLM-reviewed
Mazda,Roadster,Convertible / Roadster,llm-knowledge,JDM-import MX-5 roadster.,,LLM-reviewed
Mazda,Rx-7,Sports car,llm-knowledge,Rotary sports car.,,LLM-reviewed
